#{"t_start": 1743878026.4469059, "env_id": "None"}
r,l,t
23.728008,72,675.933856
23.87801,72,677.826723
23.87801,72,679.254503
23.87801,72,680.714073
23.82801,72,682.75793
23.87801,72,684.202306
23.87801,72,685.945475
23.82801,72,687.349404
23.87801,72,689.100463
23.82801,72,691.153255
24.57601,74,693.07397
23.87801,72,694.908154
23.82801,72,702.991651
23.87801,72,704.52347
23.82801,72,706.175464
23.87801,72,707.820595
23.87801,72,710.502418
23.87801,72,712.845064
23.87801,72,714.288181
23.87801,72,715.82516
23.87801,72,717.249901
23.82801,72,718.618791
23.87801,72,719.910829
23.87801,72,721.31599
23.87801,72,722.96435
23.87801,72,724.795093
23.87801,72,726.180942
23.87801,72,727.629593
22.930008,70,729.386162
23.82801,72,730.781058
23.87801,72,732.160795
23.87801,72,733.976599
23.82801,72,735.360589
22.930008,70,737.330494
23.82801,72,738.841415
23.87801,72,740.874406
24.27701,73,742.183156
23.87801,72,744.230047
23.87801,72,745.533921
23.87801,72,747.854728
23.87801,72,754.49497
23.82801,72,755.868913
24.57601,74,757.198906
23.87801,72,759.207021
23.87801,72,760.731724
23.82801,72,762.631593
22.930008,70,764.035708
23.87801,72,765.969598
23.87801,72,767.335226
23.87801,72,769.389618
23.87801,72,770.839277
24.27701,73,772.717105
23.87801,72,774.15913
23.82801,72,776.077835
23.82801,72,777.535768
23.87801,72,779.289852
23.87801,72,780.627649
23.87801,72,782.029337
23.728008,72,783.933258
23.87801,72,785.641287
23.87801,72,787.849892
23.87801,72,789.200597
23.87801,72,790.514208
23.87801,72,791.995503
23.87801,72,793.781058
23.279009,71,795.141904
23.87801,72,796.817704
23.728008,72,798.217334
23.82801,72,799.485211
23.87801,72,805.980114
23.87801,72,807.283254
23.87801,72,808.595845
23.87801,72,809.896112
23.82801,72,811.190375
23.87801,72,812.670381
23.87801,72,814.494147
23.82801,72,815.848952
23.87801,72,817.950459
23.87801,72,819.550852
23.82801,72,821.385187
23.87801,72,822.739465
23.82801,72,825.106491
23.87801,72,826.50394
23.87801,72,828.50583
23.82801,72,830.112867
23.82801,72,831.966402
24.27701,73,833.300929
22.880009,70,834.63952
23.87801,72,836.133019
23.87801,72,837.438029
23.87801,72,839.324067
23.728008,72,840.679122
23.87801,72,842.63609
23.82801,72,843.883962
24.22701,73,845.137238
23.87801,72,846.440217
23.87801,72,847.86137
23.87801,72,855.187194
23.87801,72,856.508589
23.82801,72,857.829574
23.87801,72,859.152439
23.87801,72,860.531126
23.82801,72,861.889316
23.728008,72,863.476031
23.82801,72,865.408701
23.87801,72,867.547812
23.87801,72,869.292911
23.87801,72,870.608016
23.87801,72,872.085766
23.87801,72,873.707306
24.27701,73,875.466141
23.87801,72,876.834992
23.87801,72,878.371603
24.27701,73,880.148842
23.87801,72,881.490813
23.82801,72,882.891931
23.87801,72,885.14729
22.930008,70,886.835016
23.82801,72,889.124075
23.87801,72,890.714109
23.87801,72,892.349427
23.87801,72,893.738296
23.87801,72,895.039202
23.87801,72,896.392463
23.87801,72,897.7614
23.87801,72,899.830247
23.87801,72,906.10055
23.87801,72,907.450558
23.87801,72,908.749925
23.87801,72,910.127497
24.57601,74,911.535002
23.87801,72,912.884666
23.87801,72,914.910403
